LocalTime,Users,GET_Token_wCredentials,ACC_PUT_Flags,ACC_GET_Freebets,ACC_GET_Balance,ACC_GET_Limits_Dep,ACC_GET_Preferences,ACC_GET_Status,ACC_GET_Services,ACC_GET_Accounts,ACC_GET_Joint
1534344682223,1.0,0,0,0,0,0,0,0,0,0,0
1534344682224.0,1.0,686.0,0,0,0,0,0,0,0,0,0
1534344683223,1.0,0,0,0,0,0,0,0,0,0,0
1534344683924.0,1.0,0,845.0,0,0,0,0,0,0,0,0
1534344684223,1.0,0,0,0,0,0,0,0,0,0,0
1534344685223,2.0,0,0,0,0,0,0,0,0,0,0
1534344685224.0,2.0,823.0,0,0,0,0,0,0,0,0,0
1534344686223,2.0,0,0,0,0,0,0,0,0,0,0
1534344686304.0,2.0,0,0,286.0,0,0,0,0,0,0,0
1534344687223,2.0,0,0,0,0,0,0,0,0,0,0
1534344687506.0,2.0,0,0,0,422.0,0,0,0,0,0,0
1534344688223,2.0,0,0,0,0,0,0,0,0,0,0
1534344689223,3.0,0,0,0,0,0,0,0,0,0,0
1534344689224.0,3.0,621.0,0,0,0,0,0,0,0,0,0
1534344690223,3.0,0,0,0,0,0,0,0,0,0,0
1534344690304.0,3.0,0,0,292.0,0,0,0,0,0,0,0
1534344690506.0,3.0,0,0,0,394.0,0,0,0,0,0,0
1534344691223,3.0,0,0,0,0,0,0,0,0,0,0
1534344691304.0,3.0,0,0,432.0,0,0,0,0,0,0,0
1534344692223,3.0,0,0,0,0,0,0,0,0,0,0
1534344693223,4.0,0,0,0,0,0,0,0,0,0,0
1534344693224.0,4.0,930.0,0,0,0,0,0,0,0,0,0
1534344693506.0,4.0,0,0,0,611.0,0,0,0,0,0,0
1534344694223,4.0,0,0,0,0,0,0,0,0,0,0
1534344694304.0,4.0,0,0,255.0,0,0,0,0,0,0,0
1534344695223,4.0,0,0,0,0,0,0,0,0,0,0
1534344695506.0,4.0,0,0,0,416.0,0,0,0,0,0,0
1534344695776.0,4.0,0,0,0,0,377.0,0,0,0,0,0
1534344696223,4.0,0,0,0,0,0,0,0,0,0,0
1534344697223,5.0,0,0,0,0,0,0,0,0,0,0
1534344697224.0,5.0,741.0,0,0,0,0,0,0,0,0,0
1534344697506.0,5.0,0,0,0,265.9,0,0,0,0,0,0
1534344698223,5.0,0,0,0,0,0,0,0,0,0,0
1534344698506.0,5.0,0,0,0,412.65,0,0,0,0,0,0
1534344699223,5.0,0,0,0,0,0,0,0,0,0,0
1534344699506.0,5.0,0,0,0,257.0,0,0,0,0,0,0
1534344700223,5.0,0,0,0,0,0,0,0,0,0,0
1534344701223,6.0,0,0,0,0,0,0,0,0,0,0
1534344701224.0,6.0,802.0,0,0,0,0,0,0,0,0,0
1534344701776.0,6.0,0,0,0,0,368.0,0,0,0,0,0
1534344702223,6.0,0,0,0,0,0,0,0,0,0,0
1534344702593.0,6.0,0,0,0,0,0,262.0,0,0,0,0
1534344702664.0,6.0,0,0,0,0,0,0,238.0,0,0,0
1534344702776.0,6.0,0,0,0,0,388.0,0,0,0,0,0
1534344703223,6.0,0,0,0,0,0,0,0,0,0,0
1534344703304.0,6.0,0,0,444.0,0,0,0,0,0,0,0
1534344704223,6.0,0,0,0,0,0,0,0,0,0,0
1534344704506.0,6.5,0,0,0,240.0,0,0,0,0,0,0
1534344705223,7.0,0,0,0,0,0,0,0,0,0,0
1534344705224.0,7.0,1215.0,0,0,0,0,0,0,0,0,0
1534344705506.0,7.0,0,0,0,261.0,0,0,0,0,0,0
1534344706223,7.0,0,0,0,0,0,0,0,0,0,0
1534344706506.0,7.0,0,0,0,251.1,0,0,0,0,0,0
1534344707055.0,7.0,0,0,0,0,0,0,0,247.0,0,0
1534344707223,7.0,0,0,0,0,0,0,0,0,0,0
1534344707506.0,7.0,0,0,0,394.0,0,0,0,0,0,0
1534344708055.0,7.0,0,0,0,0,0,0,0,253.0,0,0
1534344708223,7.0,0,0,0,0,0,0,0,0,0,0
1534344709223,8.0,0,0,0,0,0,0,0,0,0,0
1534344709224.0,8.0,778.0,0,0,0,0,0,0,0,0,0
1534344709532.0,8.0,0,0,0,0,0,0,0,0,245.0,0
1534344710223,8.0,0,0,0,0,0,0,0,0,0,0
1534344710506.0,8.0,0,0,0,396.2,0,0,0,0,0,0
1534344710532.0,8.0,0,0,0,0,0,0,0,0,254.0,0
1534344710536.0,8.0,0,0,0,0,0,0,0,0,0,235.0
1534344711223,8.0,0,0,0,0,0,0,0,0,0,0
1534344711506.0,8.0,0,0,0,245.0,0,0,0,0,0,0
1534344711776.0,8.0,0,0,0,0,367.0,0,0,0,0,0
1534344712223,8.0,0,0,0,0,0,0,0,0,0,0
1534344713223,9.0,0,0,0,0,0,0,0,0,0,0
1534344713224.0,9.0,729.0,0,0,0,0,0,0,0,0,0
1534344713506.0,9.0,0,0,0,254.0,0,0,0,0,0,0
1534344713924.0,9.0,0,249.0,0,0,0,0,0,0,0,0
1534344714223,9.0,0,0,0,0,0,0,0,0,0,0
1534344714506.0,9.0,0,0,0,247.0,0,0,0,0,0,0
1534344714776.0,9.0,0,0,0,0,513.0,0,0,0,0,0
1534344715223,9.0,0,0,0,0,0,0,0,0,0,0
1534344715506.0,9.0,0,0,0,245.8,0,0,0,0,0,0
1534344715776.0,9.0,0,0,0,0,371.0,0,0,0,0,0
1534344716223,9.0,0,0,0,0,0,0,0,0,0,0
1534344716593.0,9.5,0,0,0,0,0,254.0,0,0,0,0
1534344717223,10.0,0,0,0,0,0,0,0,0,0,0
1534344717224.0,10.0,1056.0,0,0,0,0,0,0,0,0,0
1534344717506.0,10.0,0,0,0,321.0,0,0,0,0,0,0
1534344717924.0,10.0,0,241.85,0,0,0,0,0,0,0,0
1534344718223,10.0,0,0,0,0,0,0,0,0,0,0
1534344719223,10.0,0,0,0,0,0,0,0,0,0,0
1534344719506.0,10.0,0,0,0,378.65,0,0,0,0,0,0
1534344719664.0,10.0,0,0,0,0,0,0,239.0,0,0,0
1534344719776.0,10.0,0,0,0,0,383.0,0,0,0,0,0
1534344719924.0,10.0,0,266.0,0,0,0,0,0,0,0,0
1534344720223,10.0,0,0,0,0,0,0,0,0,0,0
1534344720304.0,10.333,0,0,268.0,0,0,0,0,0,0,0
1534344720776.0,10.667,0,0,0,0,373.0,0,0,0,0,0
1534344721223,11.0,0,0,0,0,0,0,0,0,0,0
1534344721224.0,11.0,816.0,0,0,0,0,0,0,0,0,0
1534344721506.0,11.0,0,0,0,235.0,0,0,0,0,0,0
1534344722223,11.0,0,0,0,0,0,0,0,0,0,0
1534344722506.0,11.0,0,0,0,256.0,0,0,0,0,0,0
1534344722776.0,11.0,0,0,0,0,368.0,0,0,0,0,0
1534344723223,11.0,0,0,0,0,0,0,0,0,0,0
1534344723506.0,11.0,0,0,0,253.1,0,0,0,0,0,0
1534344724223,11.0,0,0,0,0,0,0,0,0,0,0
1534344724506.0,11.5,0,0,0,253.7,0,0,0,0,0,0
1534344725223,12.0,0,0,0,0,0,0,0,0,0,0
1534344725224.0,12.0,811.0,0,0,0,0,0,0,0,0,0
1534344725506.0,12.0,0,0,0,250.4,0,0,0,0,0,0
1534344725664.0,12.0,0,0,0,0,0,0,240.0,0,0,0
1534344726223,12.0,0,0,0,0,0,0,0,0,0,0
1534344726593.0,12.0,0,0,0,0,0,395.0,0,0,0,0
1534344726664.0,12.0,0,0,0,0,0,0,237.0,0,0,0
1534344727223,12.0,0,0,0,0,0,0,0,0,0,0
1534344727506.0,12.0,0,0,0,233.0,0,0,0,0,0,0
1534344727593.0,12.0,0,0,0,0,0,244.0,0,0,0,0
1534344727776.0,12.0,0,0,0,0,371.0,0,0,0,0,0
1534344728223,12.0,0,0,0,0,0,0,0,0,0,0
1534344728506.0,12.5,0,0,0,792.0,0,0,0,0,0,0
1534344729223,13.0,0,0,0,0,0,0,0,0,0,0
1534344729224.0,13.0,1187.0,0,0,0,0,0,0,0,0,0
1534344729506.0,13.0,0,0,0,467.8,0,0,0,0,0,0
1534344729593.0,13.0,0,0,0,0,0,253.0,0,0,0,0
1534344729664.0,13.0,0,0,0,0,0,0,233.0,0,0,0
1534344730223,13.0,0,0,0,0,0,0,0,0,0,0
1534344730506.0,13.0,0,0,0,243.0,0,0,0,0,0,0
1534344730593.0,13.0,0,0,0,0,0,263.0,0,0,0,0
1534344730776.0,13.0,0,0,0,0,369.0,0,0,0,0,0
1534344731223,13.0,0,0,0,0,0,0,0,0,0,0
1534344731506.0,13.0,0,0,0,233.0,0,0,0,0,0,0
1534344731536.0,13.0,0,0,0,0,0,0,0,0,0,386.0
1534344732223,13.0,0,0,0,0,0,0,0,0,0,0
1534344732304.0,13.333,0,0,257.0,0,0,0,0,0,0,0
1534344732506.0,13.667,0,0,0,237.85,0,0,0,0,0,0
1534344733223,14.0,0,0,0,0,0,0,0,0,0,0
1534344733224.0,14.0,702.0,0,0,0,0,0,0,0,0,0
1534344733506.0,14.0,0,0,0,247.7,0,0,0,0,0,0
1534344733593.0,14.0,0,0,0,0,0,242.0,0,0,0,0
1534344733776.0,14.0,0,0,0,0,372.6,0,0,0,0,0
1534344734223,14.0,0,0,0,0,0,0,0,0,0,0
1534344734506.0,14.0,0,0,0,255.0,0,0,0,0,0,0
1534344734776.0,14.0,0,0,0,0,537.0,0,0,0,0,0
1534344735223,14.0,0,0,0,0,0,0,0,0,0,0
1534344735506.0,14.0,0,0,0,245.5,0,0,0,0,0,0
1534344736223,14.0,0,0,0,0,0,0,0,0,0,0
1534344736593.0,14.333,0,0,0,0,0,247.0,0,0,0,0
1534344736776.0,14.667,0,0,0,0,372.0,0,0,0,0,0
1534344737223,15.0,0,0,0,0,0,0,0,0,0,0
1534344737224.0,15.0,761.0,0,0,0,0,0,0,0,0,0
1534344737304.0,15.0,0,0,258.55,0,0,0,0,0,0,0
1534344737536.0,15.0,0,0,0,0,0,0,0,0,0,233.0
1534344738055.0,15.0,0,0,0,0,0,0,0,240.0,0,0
1534344738223,15.0,0,0,0,0,0,0,0,0,0,0
1534344738506.0,15.0,0,0,0,248.0,0,0,0,0,0,0
1534344738532.0,15.0,0,0,0,0,0,0,0,0,238.0,0
1534344738664.0,15.0,0,0,0,0,0,0,386.0,0,0,0
1534344739223,15.0,0,0,0,0,0,0,0,0,0,0
1534344739532.0,15.0,0,0,0,0,0,0,0,0,242.0,0
1534344739924.0,15.0,0,248.0,0,0,0,0,0,0,0,0
1534344740223,15.0,0,0,0,0,0,0,0,0,0,0
1534344740506.0,15.25,0,0,0,292.0,0,0,0,0,0,0
1534344740532.0,15.5,0,0,0,0,0,0,0,0,251.0,0
1534344741055.0,15.75,0,0,0,0,0,0,0,684.0,0,0
1534344741223,16.0,0,0,0,0,0,0,0,0,0,0
1534344741224.0,16.0,1277.0,0,0,0,0,0,0,0,0,0
1534344741506.0,16.0,0,0,0,523.95,0,0,0,0,0,0
1534344741924.0,16.0,0,250.0,0,0,0,0,0,0,0,0
1534344742223,16.0,0,0,0,0,0,0,0,0,0,0
1534344742506.0,16.0,0,0,0,249.2,0,0,0,0,0,0
1534344742536.0,16.0,0,0,0,0,0,0,0,0,0,235.85
1534344743223,16.0,0,0,0,0,0,0,0,0,0,0
1534344743506.0,16.0,0,0,0,234.0,0,0,0,0,0,0
1534344743776.0,16.0,0,0,0,0,506.15,0,0,0,0,0
1534344744223,16.0,0,0,0,0,0,0,0,0,0,0
1534344744506.0,16.25,0,0,0,236.0,0,0,0,0,0,0
1534344744776.0,16.5,0,0,0,0,373.0,0,0,0,0,0
1534344745055.0,16.75,0,0,0,0,0,0,0,255.0,0,0
1534344745223,17.0,0,0,0,0,0,0,0,0,0,0
1534344745224.0,17.0,723.0,0,0,0,0,0,0,0,0,0
1534344745506.0,17.0,0,0,0,241.75,0,0,0,0,0,0
1534344745776.0,17.0,0,0,0,0,372.0,0,0,0,0,0
